ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237657189835866119,9.98768972842436,-0.904324043939165,-311.671,15.63431,15.26369,15.25254,15.13689,13.945,13.972,15.67159,15.28385,15.30167,12.481,9999,14.371,0.029,14.034,0.035,14.073,0.061,16.70834,-8.662264E-05
1237657189835866402,10.1160981516422,-0.873693834628879,-1.40951,21.02241,19.64716,18.55928,17.99113,15.802,15.893,21.03043,19.66455,18.55955,12.548,9999,16.613,0.113,15.964,0.129,15.614,0.214,22.74965,-6.714259E-05
1237657189836194043,10.8279671218849,-0.946487161490483,-2.320343,19.34809,18.4418,18.07673,17.91637,16.163,16.596,19.34948,18.43786,18.07108,12.039,9999,16.881,0.133,16.162,0.177,16.083,9999,21.54686,0.0001512528
1237657190368477222,0.323303179210427,-0.558499821488806,-11.19626,16.92037,16.39863,16.20226,16.12545,14.759,15.014,16.92512,16.39002,16.19434,12.6,9999,15.226,0.04,14.747,0.066,14.827,0.1,18.28747,-0.0001559958
1237657190370246933,4.29255204943627,-0.427785041256285,-6.215724,20.77671,19.32069,18.13998,17.54387,15.214,14.726,20.78082,19.32586,18.12313,12.28,9999,16.301,0.097,15.379,0.103,15.505,0.221,23.36368,-9.086478E-06
1237657190370312282,4.4907961844213,-0.581817237753639,-7.769924,17.72335,16.5348,16.09236,15.85462,13.852,13.926,17.69352,16.53856,16.09933,12.159,9999,14.723,0.03,14.095,0.04,13.898,0.053,20.3483,-0.0001246211
1237657190370574529,5.04294268644009,-0.568675047695764,-13.73387,18.71093,17.255,16.11235,15.49177,13.149,13.031,18.69836,17.25062,16.09861,12.058,0.325,14.116,0.028,13.519,0.033,13.259,0.036,21.2193,6.982787E-05
1237657190370836663,5.65271230942579,-0.583858409705473,-4.007547,20.26068,18.86393,17.96791,17.44404,15.31,15.288,20.23633,18.86717,17.98394,12.511,9999,16.068,0.077,15.663,0.116,15.163,0.176,24.32174,-0.0001342483
1237657190371098723,6.26863064659472,-0.527188769125598,-2.969679,19.74181,18.43313,17.73722,17.35634,15.23,15.507,19.72327,18.42392,17.74055,12.606,9999,16.232,0.08,15.497,0.102,15.456,0.177,22.59389,-0.0001337307
1237657190371753999,7.73636053745952,-0.447412006116161,-270.1758,17.1911,15.83643,15.09088,14.65505,12.436,12.39,17.19041,15.83503,15.09057,12.136,9999,13.393,0.023,12.72,0.026,12.548,0.027,20.10775,-5.669059E-05
1237657190371754204,7.81321052441535,-0.422917437068843,-2.415717,17.95674,17.49384,17.32508,17.27139,15.417,15.293,17.95114,17.52723,17.32468,12.575,9999,16.397,0.105,15.919,0.14,15.031,9999,19.22707,-6.833665E-05
1237657190371819546,7.88858679756078,-0.465434669125747,-6.303803,17.36645,16.90532,16.75019,16.69699,15.3,15.621,17.36874,16.88603,16.7635,12.403,9999,15.854,0.052,15.406,0.093,15.705,0.242,18.64431,-0.0002003781
1237657190906593463,3.16957270427747,-0.182486370244166,-1.63346,18.20709,17.6627,17.49777,17.42184,16.111,16.266,18.20098,17.663,17.51123,12.612,9999,16.321,0.093,15.948,0.157,15.908,0.251,19.5861,-0.0001381876
1237657190907052170,4.1727812051866,-0.0445418689416521,-3.958624,18.41082,17.37556,16.96175,16.72515,14.929,15.032,18.40769,17.38597,16.95388,12.376,9999,15.639,0.067,15.048,0.09,14.809,0.122,20.78977,-5.210974E-06
1237657190907380348,4.99463194569239,-0.0369097254161605,-2.930318,22.32234,20.77527,19.0631,17.99276,15.522,15.312,22.30106,20.7673,19.05836,12.323,9999,16.781,0.15,15.922,0.156,15.434,0.21,24.9767,-1.104262E-05
1237657190908624998,7.8594484354411,-0.0411827834500325,-21.54672,16.72187,16.25941,16.10784,16.08152,14.85,14.949,16.72537,16.29583,16.1094,12.132,0.358,15.197,0.045,14.879,0.069,14.955,0.119,17.91318,-0.0002790383
1237657190908625051,7.76703518642245,-0.0976392175772295,-2.305303,19.49818,18.54049,18.17992,18.03874,16.055,15.853,19.49778,18.53756,18.1818,12.312,9999,16.939,0.166,16.07,9999,15.895,9999,21.47136,-0.0001029757
1237657190908625071,7.77498981954591,-0.109915114449306,-0.5133641,19.89276,18.47523,17.68004,17.25041,15.08,15.155,19.89336,18.46658,17.67455,11.977,9999,15.972,0.069,15.225,0.068,15.154,0.146,22.44349,-4.900372E-06
1237657190909542670,9.93713422517908,-0.158167412487699,-8.465987,20.37146,18.96165,17.62321,16.87391,14.458,14.376,20.37294,18.94853,17.61986,12.547,9999,15.482,0.047,14.846,0.057,14.731,0.088,23.29822,5.757038E-05
1237657190909608117,10.0932181985594,-0.17460852412816,-8.028971,18.28668,16.96611,16.41637,16.10843,14.019,13.971,18.26034,16.97173,16.42552,12.529,9999,14.986,0.045,14.414,0.044,14.37,0.068,20.94262,-0.0004091991
1237657190909608236,10.0413641972073,-0.196797423336845,-10.64672,21.5351,20.0306,18.58045,17.9988,15.543,15.656,21.53319,20.03111,18.58356,12.556,0.527,16.57,0.11,15.845,0.12,16.001,0.278,25.87653,-2.723583E-05
1237657190909673623,10.1961937085483,-0.183544388393073,-24.4763,18.946,17.62985,17.04833,16.74932,14.585,14.484,18.92917,17.61698,17.0267,12.601,9999,15.608,0.048,14.911,0.058,14.66,0.094,21.52039,-4.290899E-05
1237657190909739240,10.282034931439,-0.200204379819092,-91.43981,20.48441,18.9805,17.77878,17.13358,14.899,14.681,20.47551,18.97353,17.7001,12.439,9999,15.785,0.067,15.176,0.054,15.004,0.14,23.36496,-0.0001160871
1237657191443792067,3.90517986501999,0.407626352847479,-6.144033,20.95005,19.56059,18.83809,18.37851,16.308,15.835,20.94033,19.58631,18.82835,12.543,9999,9999,9999,9999,9999,9999,9999,23.96583,3.213302E-05
1237657191443857626,4.06468404851103,0.248113355877953,-11.37341,17.97304,17.47756,17.29478,17.20967,16.22,16.522,17.9909,17.4943,17.30537,12.483,9999,16.348,0.088,15.93,0.133,15.754,0.19,19.28975,7.408599E-05
1237657191444250812,5.02701910612404,0.324624811937594,-8.075153,20.19385,18.77498,17.82001,17.29956,15.035,14.959,20.20875,18.79326,17.85513,12.498,9999,16.033,0.077,15.264,0.08,15.029,0.106,22.66569,-6.348093E-05
1237657191444578521,5.75694786629862,0.341490666662091,-9.926556,18.81466,17.36336,16.39975,15.90157,13.573,13.537,18.79945,17.34879,16.37878,12.141,9999,14.675,0.039,13.907,0.051,13.731,0.042,21.59618,-0.000123896
1237657191445364882,7.50333335561186,0.310553496820889,-6.184491,18.0523,17.35085,17.08262,16.96959,15.409,15.427,18.05048,17.36173,17.08753,12.636,9999,15.924,0.06,15.442,0.112,15.297,0.129,19.77535,-5.845224E-05
