ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652900211130909,359.788271793637,-10.3551733276265,-220.7597,20.82082,19.102,18.31533,17.77055,14.757,14.581,22.47747,20.84517,20.02416,12.532,0.496,9999,9999,9999,9999,9999,9999,22.44781,0.4146486
1237652900211131017,359.693500388185,-10.3433243978309,-32.82811,22.84845,20.6323,19.57727,19.05635,15.332,15.517,23.69702,21.59402,20.58944,11.95,9999,9999,9999,9999,9999,9999,9999,21.9907,0.5461404
1237652900211195952,359.881441875829,-10.2501523112253,-7421.978,17.75771,16.86033,16.44894,16.09368,13.963,13.876,18.85759,18.07597,17.67385,12.216,0.345,15.733,0.077,15.037,0.103,14.64,0.116,19.52785,0.082778
1237652900211195965,359.898401476121,-10.3770053669412,-4895.708,18.42291,17.68044,17.17588,16.89458,13.969,13.661,19.3749,18.7716,18.26441,9.602,0.04,16.208,0.101,15.243,0.089,14.762,0.127,19.82275,0.09152926
1237652900211196089,359.823285301484,-10.3203298897557,-26.95826,22.36,20.69682,19.63262,19.22597,15.664,15.568,22.74825,21.19557,20.15302,12.67,9999,9999,9999,9999,9999,9999,9999,23.73679,0.5516527
1237652900211196304,359.902216363897,-10.1917547672477,-24.5861,21.64948,20.41541,19.58495,19.41682,15.543,15.52,22.24069,21.16971,20.27571,12.438,0.422,9999,9999,9999,9999,9999,9999,24.35176,0.5392825
1237652900211196428,359.958687188925,-10.224577477217,-92.09575,21.60767,20.08142,19.00896,18.50741,14.899,14.865,22.4622,21.07684,20.00616,12.678,9999,9999,9999,9999,9999,9999,9999,26.76004,0.5384327
1237652900211261501,0.0017179488831971,-10.3738027903914,-3509.645,18.31216,17.19329,16.73072,16.40423,14.282,13.934,19.9498,18.9507,18.46044,12.043,0.325,16.46,0.124,15.536,0.128,14.839,0.147,20.16509,0.2040066
1237652900211261543,0.0856140371559064,-10.3468981467546,-5036.451,18.11211,17.47821,17.10595,16.8981,14.701,14.759,19.55921,19.12003,18.75635,11.38,0.174,16.729,0.148,16.056,0.162,14.913,9999,19.60516,0.06393175
1237652900211261650,359.971914717959,-10.3778939760891,-30.37171,21.68979,20.38084,19.65071,19.30354,16.099,15.823,22.16744,20.92945,20.20027,12.525,9999,9999,9999,9999,9999,9999,9999,21.64171,0.4020892
1237652900211261659,359.97986058547,-10.2278227072797,-132.1508,21.48277,19.97176,18.93888,18.38509,14.853,14.662,22.62292,21.19436,19.94343,12.553,9999,9999,9999,9999,9999,9999,9999,24.15633,0.6149394
